Lang;Source;Metric;Value
C;revcomp;HALSTEAD__Difficulty;55.172413793103445
C;revcomp;HALSTEAD__Level;0.018125000000000002
C;revcomp;HALSTEAD__Effort;102238.5531418834
C;revcomp;HALSTEAD__Programming time;5679.919618993522
C;revcomp;HALSTEAD__Bugs;0.7288226738088915
C;revcomp;HALSTEAD__Estimated program length;256.9778536030677
C;revcomp;HALSTEAD__Purity ratio;0.7980678683325083
C;revcomp;MI__Original;46.68214123724049
C;revcomp;MI__Sei;29.49766081859525
C;revcomp;MI__Visual Studio;27.29949779955584
C;spectralnorm;SLOC;255
C;spectralnorm;PLOC;156
C;spectralnorm;LLOC;44
C;spectralnorm;CLOC;63
C;spectralnorm;BLANK;36
C;spectralnorm;CC;28.0
C;spectralnorm;NARGS_SUM;12
C;spectralnorm;NARGS_AVG;1.33
C;spectralnorm;COGNITIVE_SUM;16
C;spectralnorm;COGNITIVE_AVG;1.7777
C;spectralnorm;NEXITS;6
C;spectralnorm;NEXITS_AVG;0.6666666666666666
C;spectralnorm;NOM__functions;9
C;spectralnorm;NOM__closures;0
C;spectralnorm;NOM__total;9
C;spectralnorm;HALSTEAD__n1;25
C;spectralnorm;HALSTEAD__n2;67
C;spectralnorm;HALSTEAD__N1;506
C;spectralnorm;HALSTEAD__N2;363
C;spectralnorm;HALSTEAD__Vocabulary;92
C;spectralnorm;HALSTEAD__Length;869
C;spectralnorm;HALSTEAD__Volume;5668.975339813544
C;spectralnorm;HALSTEAD__Difficulty;67.72388059701493
C;spectralnorm;HALSTEAD__Level;0.014765840220385676
C;spectralnorm;HALSTEAD__Effort;383925.0090209546
C;spectralnorm;HALSTEAD__Programming time;21329.167167830812
C;spectralnorm;HALSTEAD__Bugs;1.7607985856908024
C;spectralnorm;HALSTEAD__Estimated program length;522.5243805050388
C;spectralnorm;HALSTEAD__Purity ratio;0.6012938786018859
C;spectralnorm;MI__Original;29.84915951402978
C;spectralnorm;MI__Sei;5.021060152791847
C;spectralnorm;MI__Visual Studio;17.455648838613907
JavaScript;binarytrees;SLOC;50
JavaScript;binarytrees;PLOC;36
JavaScript;binarytrees;LLOC;25
JavaScript;binarytrees;CLOC;5
JavaScript;binarytrees;BLANK;9
JavaScript;binarytrees;CC;8.0
JavaScript;binarytrees;NARGS_SUM;4
JavaScript;binarytrees;NARGS_AVG;1.33333
JavaScript;binarytrees;COGNITIVE_SUM;7
JavaScript;binarytrees;COGNITIVE_AVG;2.33333
JavaScript;binarytrees;NEXITS;4
JavaScript;binarytrees;NEXITS_AVG;1.3333333333333333
JavaScript;binarytrees;NOM__functions;3
JavaScript;binarytrees;NOM__closures;0
JavaScript;binarytrees;NOM__total;3
JavaScript;binarytrees;HALSTEAD__n1;20
JavaScript;binarytrees;HALSTEAD__n2;27
JavaScript;binarytrees;HALSTEAD__N1;115
JavaScript;binarytrees;HALSTEAD__N2;85
JavaScript;binarytrees;HALSTEAD__Vocabulary;47
JavaScript;binarytrees;HALSTEAD__Length;200
JavaScript;binarytrees;HALSTEAD__Volume;1110.9177703355276
JavaScript;binarytrees;HALSTEAD__Difficulty;31.48148148148148
JavaScript;binarytrees;HALSTEAD__Level;0.031764705882352945
JavaScript;binarytrees;HALSTEAD__Effort;34973.33721426661
JavaScript;binarytrees;HALSTEAD__Programming time;1942.9631785703673
JavaScript;binarytrees;HALSTEAD__Bugs;0.35648133497983825
JavaScript;binarytrees;HALSTEAD__Estimated program length;214.8205244561609
JavaScript;binarytrees;HALSTEAD__Purity ratio;1.0741026222808046
JavaScript;binarytrees;MI__Original;69.31793009349876
JavaScript;binarytrees;MI__Sei;48.64513299274641
JavaScript;binarytrees;MI__Visual Studio;40.53680122426828
JavaScript;fannkuchredux;SLOC;52
JavaScript;fannkuchredux;PLOC;41
JavaScript;fannkuchredux;LLOC;60
JavaScript;fannkuchredux;CLOC;16
JavaScript;fannkuchredux;BLANK;0
JavaScript;fannkuchredux;CC;16.0
JavaScript;fannkuchredux;NARGS_SUM;1
JavaScript;fannkuchredux;NARGS_AVG;1
JavaScript;fannkuchredux;COGNITIVE_SUM;46
JavaScript;fannkuchredux;COGNITIVE_AVG;46
JavaScript;fannkuchredux;NEXITS;1
